ticket,timestamp,region,plan
Payment failed again for the third time. I'm really upset!,2025-08-20 10:15,EMEA,Free
"Loved the quick delivery, awesome service!",2025-08-20 12:30,AMER,Free
Where is my order? It's delayed since last week.,2025-08-21 09:05,APAC,Standard
The app keeps crashing when I try to pay my bill.,2025-08-21 11:47,APAC,Standard
Support agent was polite and helpful.,2025-08-21 14:22,AMER,Standard
I want a refund. The product arrived damaged.,2025-08-22 16:40,EMEA,Free
Great UI! Booking was smooth and easy.,2025-08-22 18:02,AMER,Standard
Your chatbot is useless. It doesn't understand my issue.,2025-08-23 08:55,AMER,Standard
Thanks for resolving my issue so quickly!,2025-08-23 13:11,AMER,Standard
Why do you keep charging me twice?,2025-08-24 09:20,AMER,Enterprise
